,price_point,cuisine,description,tags,region,restaurant_name
10,$30 and under,Pizzeria,"Uno draws its identity and inspiration from the artisan heritage of the original Pizzeria Uno in Chicago, IL. Each restaurant still makes their Deep Dish Pizza dough fresh every morning. Our Chicago Thin Crust Pizzas are jam-packed with bold flavors. And our new Detroit Style Pizza, with its square shape, crunchy and crispy cheese-baked edge and light and airy crust, is a new favorite among our guests. We offer pizzas that are perfect for all meat-lovers, vegans, and gluten-free guests alike!Today, we are as passionate about craft beer as we are our pizza. We work with quality brewers to bring you a selection of some of the best national, regional and local craft beers. Nothing goes better together than pizza and beer!Our menu also features UNO favorites like the Shrimp & Crab Dip and Rattlesnake Pasta as well as a variety of other apps and pastas, salads, burgers and sandwiches, and entrees.","['Kid-friendly', 'Good for groups', 'Good for special occasions']","Portland, ME",Uno Pizzeria &amp; Grill - S. Portland
11,$30 and under,Brewery,"Founded in 1993 on the coast of Maine, our crew brews a full line of award-winning handcrafted ales that capture the spirit of our sea-faring history. We serve a full menu of handcrafted ales and creative pub fare with a flair. ","['Great for happy hour', 'Lively']","Portland, ME",Sea Dog Brewpub Scarborough
12,$31 to $50,Contemporary American,"Perched high above the AC Hotel Portsmouth you will find Rooftop at The Envio, Portsmouthâs newest restaurant and bar offering panoramic views of the Piscataqua River and the iconic bridges that cross it. The Rooftop is a casually sophisticated indoor/outdoor sanctuary offering a modern menu of locally sourced ingredients fresh from the farm and sea.Dine on shareable plates and sip handcrafted cocktails while watching the tide of the river shift and the sunset in the distance.  Savor a new vantage point to experience Portsmouth.","['Great for scenic views', 'Great for outdoor dining', 'Great for creative cocktails']","Portland, ME",Rooftop at The Envio
13,$31 to $50,Seafood,"Weâre Row 34. If we could eat oysters and drink beer for every meal period, we probably would. Professionals Only.Row 34 serves up a seafood-focused menu in an industrial-inspired setting. Chef/Owner Jeremy Sewall's menu offers fish entrees and an extensive oyster selection, along with craft beers and an eclectic wine list. Classic comfort food side dishes round out the menu.Visit our sister restaurants: Row 34 Boston, MA, Row 34 Burlington, MA and Row 34 Cambridge, MA ","['Good for special occasions', 'Great for craft beers', 'Neighborhood gem']","Portland, ME",Row 34 - Portsmouth
14,$30 and under,Contemporary American,"Sitting over the Kennebunk River in the Kennebunkport neighborhood  of Dock Square. Hurricane Restaurant offers the freshest local seafood,locally grown produce and the finest of prime meats available in the market daily. Our Chef and Pastry Chef write our menus each day based on what is the freshest and finest product. Our wine list offers over 130 plus selections by the bottle with almost 60 available by the glass and has won Wine Spectator awards for over 20 years in a row. Our service is casual with our priorities being complete guest satisfaction. Please join us soon to enjoy our wonderful food and beverages and well as our spectacular water views.","['Good for special occasions', 'Neighborhood gem', 'Great for scenic views']","Portland, ME",Hurricane Restaurant - Kennebunkport
15,$50 and over,American,"Our contemporary New England cuisine has been rooted in the local and seasonal long before they were the mots du jour on menus across the country. At our AAA Five Diamond, Forbes Five Star restaurant, we showcase incredible ingredients sourced through specially cultivated relationships with the farmers, fishermen and foragers of coastal Maine and just beyond for beautifully-presented, always inspired dishes that encapsulate the very essence of our spectacular setting.We have a smart casual dress code; jackets are preferred, but not required. Shorts, sportswear, and flip-flops are forbidden in the dining room. ","['Good for special occasions', 'Romantic', 'Charming']","Portland, ME",White Barn Inn
16,$31 to $50,Seafood,"Experience the best of Kennebunkport, Maine, at The Tides Beach Club, where fresh flavors take center stage. Our menu features an array of seafood and garden vegetables, each dish crafted to perfection to highlight their quality and the chef's dedication. Enhance your meal with a specialty drink or a selection from our extensive wine collection for a truly memorable dining experience. Please note that The Tides Beach Club parking is reserved for hotel guests only; dining guests must utilize Goose Rocks Beach Parking. Book your table on Open Table today for a rejuvenating culinary adventure!","['Great for scenic views', 'Charming', 'Great for creative cocktails']","Portland, ME",The Tides Beach Club
17,$30 and under,Steakhouse,"Toscana Italian Chophouse & Wine Bar, a steakhouse concept that will be built around signature chops, incredible sides, and of course many of the Italian favorites that customers have come to love from Tuscan Kitchen.","['Good for special occasions', 'Lively', 'Great for fine wines']","Portland, ME",Toscana Chop House
18,$31 to $50,American,"Located in the heart of Brunswick, Maine, Noble Kitchen + Bar serves local, elevated cuisine. Masterfully blending culinary traditions, contemporary techniques and seasonal flavour profiles, our Chef Meghan Fairman expertly creates thoughtful and artistically crafted menus that focus on honoring high-quality ingredients and their origins. This attention to detail follows to the bar, where freshly squeezed juices, old-school bartending techniques, and a wide array of available spirits, are meticulously melded to perfection. Locally crafted, small-batch breweries are represented alongside a diverse wine program focused on highly allocated and unique wines. With an inviting dining room and outdoor patio, we encourage you to come and experience the wonderfully crafted artistry of our culinary team.A slow food restaurant, we suggest parties of two to four persons allocate two hours for service.","['Charming', 'Great for creative cocktails', 'Neighborhood gem']","Portland, ME",Noble Kitchen + Bar
19,$31 to $50,Italian,Elevate your evening at The Rail at La Stazione! Join us for a taste of sophistication and culinary innovation. Our meticulously crafted menu promises to redefine your dining expectations. At The Rail we offer an extensive menu for take out or delivery. La Stazione is our Dine In restaurant offering delicious food and drink. Enjoy a meal with us.We look forward to serving you.,"['Neighborhood gem', 'Good for special occasions', 'Great for creative cocktails']","Portland, ME",The Rail at La Stazione
20,$31 to $50,American,"Perched on the shore of Rust Pond, Trentaâs restored barn setting, intimate dining room and convivial lounge complete with handcrafted copper bartop and fireside seating, harmonize for an atmosphere reminiscent of simpler timesâa place to come only to enjoy.","['Charming', 'Good for business meals', 'Good for groups']","Portland, ME",Trenta
21,$31 to $50,Continental,"With over 48 years in business serving the local and traveling public fresh, local cuisine in a casual yet elegant atmosphere.If you are searching for the perfect place to indulge in an elegant yet comfortably casual dining experience look no further. Jonathan's Restaurant impresses in every way making it the perfect destination for any special occasion. Jonathan's Restaurant is Ogunquit's premiere destination for local cuisine and impeccable service. Accented by soft lighting and elegant dÃ©cor, Jonathan's Restaurant aims to please and succeeds in doing so. The professional staff caters to its guests'; every need making sure not to cut corners and only offering the finest, highest quality ingredients. The menu is vast and eclectic showcasing an impressive selection of upscale New England specialties. ","['Good for special occasions', 'Charming', 'Good for groups']","Portland, ME",Jonathan's - Ogunquit
22,$30 and under,Sports Bar,"Since 1982, Buffalo Wild WingsÂ® (or B-DubsÂ® as our friends call us) has been the ultimate place to watch the game, have a cold beer and eat some great food. At Buffalo Wild Wings, you can always feel comfortable pulling some tables together with your friends and staying as long as you want.","['Innovative', 'Great for craft beers', 'Good for groups']","Portland, ME",Buffalo Wild Wings - Topsham
23,$31 to $50,Italian,"Please Note: Online Reservations are for our Main indoor dining room ONLY. Please call us directly for WIne Bar options at 603.436.4000.   We reserve the right to charge $20.00 per person cancelation fee, please call us by 12:00p.m.. the day of your reservation to avoid possible cancelation fees.~~~~~~ Nestled like a hidden jewel in historic downtown Portsmouth, New Hampshire, Massimo's warmly lit brick and stone grotto walls, fresh flowers and oil paintings of magnificent Italian landscapes transports guests to Florence, Rome and Venice. Guests relax in a richly appointed atmosphere beneath mahogany-beamed ceilings and private parties unwind in their own intimate dining room. Ristorante Massimo offers authentic dishes from all regions of Italy. From innovative concepts to timeless Italian favorites, our executive chef creates each dish with a distinctive, refined touch as found in some of the world's most celebrated restaurants. **limited dining room availability offered online**","['Good for special occasions', 'Romantic', 'Great for fine wines']","Portland, ME",Ristorante Massimo
24,$31 to $50,Pizzeria,"Pizza is simple food. But it doesnât have to be ordinary.Since 2009 when we opened our first slice shop on Congress Street in downtown Portland, weâve been striving to elevate the pizza experience. It starts with the ingredients â high quality, local when possible â and the toppings â creative and comforting. Mashed potatoes? Tortellini? Cranberries on a pizza? These are just a few of the things we tried â and they worked. âThe Masherâ with mashed potato, scallion, and bacon is one of our most popular pies. And people thought it was weird when we first put it on the menu.Making simple food isnât easy. We are continuously working to make sure every pizza is perfect and every slice unforgettable. Whether it be from one of our slice counters, or in one of our full service dining rooms, every member of our team is motivated by this goal of consistently well-executed, uncomplicated food.","['Kid-friendly', 'Good for groups', 'Gluten-free-friendly']","Portland, ME",OTTO - Auburn
25,$31 to $50,Italian,"Over the past 30 years, our family has brought you the finest in hand crafted Italian food here in Ogunquit Maine. We stock only the finest imported olive oils, select tomatoes from the Tri-Valley Growers in California, and fresh native seafood. Our greens, herbs and vegetables are delivered to our chefs daily and to offer healthy choices, we do not use ANY salt or preservatives in our Italian recipes. We take pride in selecting and serving our food in Southern Maine and have continued this tradition for over 30 years. We are located in a restored 1850 farm house with wide beams and pumpkin pine hard wood floors, several small dining rooms and two larger rooms. Enjoy our small espresso bar, where full liquor is available and local beers are on tap. Small plates of our gourmet dishes are also available. Have fun watching a big game on our flat screen TV while enjoying the warmth of our working fireplace.","['Good for special occasions', 'Charming', 'Neighborhood gem']","Portland, ME",Roberto's Restaurant
26,$30 and under,Sports Bar,"Since 1982, Buffalo Wild WingsÂ® (or B-DubsÂ® as our friends call us) has been the ultimate place to watch the game, have a cold beer and eat some great food. At Buffalo Wild Wings, you can always feel comfortable pulling some tables together with your friends and staying as long as you want.",['Great for craft beers'],"Portland, ME",Buffalo Wild Wings - Rochester
27,$30 and under,Sports Bar,"Since 1982, Buffalo Wild WingsÂ® (or B-DubsÂ® as our friends call us) has been the ultimate place to watch the game, have a cold beer and eat some great food. At Buffalo Wild Wings, you can always feel comfortable pulling some tables together with your friends and staying as long as you want.","['Romantic', 'Good for business meals', 'Great for craft beers']","Portland, ME",Buffalo Wild Wings - Auburn
28,$30 and under,Pizza Bar,"OTTO serves gourmet, specialty pizza by the slice or whole pie.","['Great for happy hour', 'Neighborhood gem', 'Lively']","Portland, ME",Otto - Portsmouth
29,$30 and under,American,"Eighteen95 offers warm, intimate dÃ©cor, punctuated by softly lit chandeliers and a lovely brick fireplace. Our signature restaurant specializes in modern American dishes with a New England flourish, including lobster stew, bison, lobster stuffed with Maine crab meat, scallops and shrimp  and Chefâs daily specials. We strive to use locally sourced ingredients whenever possible, and we also offer an extensive collection of regional and international wines. Our desserts and ice cream are made in house and change seasonally.","['Charming', 'Good for special occasions', 'Great for brunch']","Portland, ME",Eighteen95 at the Regency Hotel
30,$30 and under,Spanish,"We accept reservations online or over the phone. For reservations of 7 guests or more, reservations must be made over the phone. Our menu offers a full range of tapas, raciones, and entrees creating a set of choices for any sized appetite. The menu is printed nightly with frequent changes in steak, gnocchi, risotto, appetizers and fish specials. Our feature dish is a classic Spanish paella filled with local seafood. Our wine list is extensive featuring over 100 bottles focused in Spain, France, and Italy. Our beer list features local micros, seasonal, domestic and imported selections. We offer an ever changing array of house made cocktails, many of which feature intriguing house infusions. Weekend brunch is served from 9am-1pm. Brunch is walk in service only. Our Brunch menu features delicious house made pastries, rotating seasonal scrambles, as well as eggs benedict, huevos rancheros, and more. For brunch drinks, we offer multiple different house bloody marys and infused cocktails. ","['Good for special occasions', 'Neighborhood gem', 'Charming']","Portland, ME",Local 188
31,$50 and over,Contemporary American,"Davidâs Opus Ten is open during each season for limited and exclusive pop-up events, celebrating seasonal products as they become available. Look forward to Davidâs Opus Ten Test Kitchen events, Maine Restaurant Week (March), and Portland Wine Week (June). Go to our events page to see whatâs coming up.This intimate restaurant within a restaurant is like nothing else in Portland. Chef David is in the Opus kitchen  himself to prepare this hyper-local menu. Cocktails  and a surprise hors d'oeuvres promptly at 6:00 PM, followed by seven set courses with optional wine pairings or a mocktail option.Reservations are strongly recommend as seating is limited to 18 guests and it sells out very quickly.Opus Ten is also available year round for special events, private dinners, and parties. ","['Innovative', 'Romantic', 'Good for special occasions']","Portland, ME",David's Opus Ten
32,$31 to $50,Bistro,"Isa is a small neighborhood bistro serving eclectic and seasonally driven menu.  Reservations are available inside the dining room up to 30 days out.  Our private outdoor patio is open seasonally with same day reservations available only, as it is uncovered and weather permitting (not dog friendly).  All reservations are 2 hours, so we ask you be mindful of those dining after you.  Please provide 24 hours notice for cancellations or a late cancellation fee may apply.   Friday lunch also available 11:30-4pm. A husband and wife duo, Isaul Perez brings his experience cooking French and Italian food to life with a splash of his Mexican heritage and his wife Suzie is the sommelier and face of the front.  They showcase local farms and purveyors and offer craft beers and house specialty cocktails.  The dining room is cozy and quaint with an original black tin ceiling. Be sure to order any of the Mexican dishes, whatever they may be!","['Neighborhood gem', 'Charming', 'Good for special occasions']","Portland, ME",Isa Bistro - Portland
33,$30 and under,Dim Sum,DUMPLINGS & CHAMPAGNEInduldge in the finer things. Coming Summer 2024.,,"Portland, ME",name_not_found
34,$31 to $50,American,A neighborhood joint serving elevated pub food and drink with an upscale casual vibe.,"['Great for happy hour', 'Good for groups', 'Good for business meals']","Portland, ME",Dunstan Tap And Table
35,$30 and under,American,"Located inside of a Historic Land Mark, Ricks Cafe calls home to a 1901 Casino Building nestled on the Naples Causeway waterways of Long Lake & Brandy Pond. Come enjoy a Sunset and Cocktail while we put your mind on a permanent vacation. ",,"Portland, ME",Rick's Cafe
36,$30 and under,Gastro Pub,What is a gastro pub?â Gastronomy is the study of preparing and consuming food. A pub is a neighborhood spot for affordable food and good times. When you combine the two you get a neighborhood spot with a focus on food prepared from scratch with fresh ingredients.,"['Neighborhood gem', 'Great for brunch', 'Great for live music']","Portland, ME",The Frog and Turtle
