,price_point,cuisine,description,tags,region,restaurant_name
15,$30 and under,Gastro Pub,What is a gastro pub?â Gastronomy is the study of preparing and consuming food. A pub is a neighborhood spot for affordable food and good times. When you combine the two you get a neighborhood spot with a focus on food prepared from scratch with fresh ingredients.,"['Neighborhood gem', 'Great for brunch', 'Great for live music']","Portland, ME",The Frog and Turtle
16,$50 and over,Contemporary American,"Experience an unforgettable dining adventure at Earth, where every meal leaves you craving more. Nestled among balsam and birch trees, Earth is built on a philosophy of community, connecting exceptional cuisine with the farmers and foragers who supply our ingredients.Our menu celebrates farm-to-fork freshness, featuring local meats, seafood, and vegetables from our two organic gardens, harvested daily to enhance each dish with distinct, handcrafted flavors. Earth promises a unique and delightful culinary experience every time you visit, and the menu changes daily to reflect the freshest ingredients.Reserve the Potting Shed for up to six guests or the Painting Shed for up to 12. Perfect for intimate gatherings. (food & beverage minimum, call to reserve)PLEASE NOTE: A table reserved for a party of two is 2 hours, and 2.5 hours for parties of four and larger. Walk-ins are currently unavailable. Check often for new positions.","['Good for special occasions', 'Romantic', 'Charming']","Portland, ME",Earth at Hidden Pond
17,$31 to $50,American,"Enjoy the warmth and charm of casual dining in The Chart Room Restaurant at Black Point Inn while surrounded by the Atlantic Ocean on three sides.  Our menu features sumptuous American cuisine using the best ingredients with a commitment to local, sustainable seafood. Enjoy stunning water-views and sunsets and views of Mount Washington over the ocean while enjoying our Signature Cocktails or a selection from our extensive wine list. ","['Charming', 'Great for scenic views', 'Good for special occasions']","Portland, ME",The Chart Room at Black Point Inn
18,$31 to $50,Seafood,"Shade: The Eatery at Higgins Beach Inn, is our re-envisioned on-site restaurant serving as your local watering hole, specializing in fresh beach-fare. You'll love our seasonally fresh cuisine featuring oysters on the half-shell and other locally sourced seafood, refreshing cocktails, craft brews, draft wines, and our covered three-season porch.","['Neighborhood gem', 'Great for outdoor dining', 'Good for special occasions']","Portland, ME",Shade
19,$30 and under,Pizzeria,"Uno draws its identity and inspiration from the artisan heritage of the original Pizzeria Uno in Chicago, IL. Each restaurant still makes their Deep Dish Pizza dough fresh every morning. Our Chicago Thin Crust Pizzas are jam-packed with bold flavors. And our new Detroit Style Pizza, with its square shape, crunchy and crispy cheese-baked edge and light and airy crust, is a new favorite among our guests. We offer pizzas that are perfect for all meat-lovers, vegans, and gluten-free guests alike!Today, we are as passionate about craft beer as we are our pizza. We work with quality brewers to bring you a selection of some of the best national, regional and local craft beers. Nothing goes better together than pizza and beer!Our menu also features UNO favorites like the Shrimp & Crab Dip and Rattlesnake Pasta as well as a variety of other apps and pastas, salads, burgers and sandwiches, and entrees.","['Kid-friendly', 'Good for groups', 'Good for special occasions']","Portland, ME",Uno Pizzeria &amp; Grill - S. Portland
20,$50 and over,American,"Our contemporary New England cuisine has been rooted in the local and seasonal long before they were the mots du jour on menus across the country. At our AAA Five Diamond, Forbes Five Star restaurant, we showcase incredible ingredients sourced through specially cultivated relationships with the farmers, fishermen and foragers of coastal Maine and just beyond for beautifully-presented, always inspired dishes that encapsulate the very essence of our spectacular setting.We have a smart casual dress code; jackets are preferred, but not required. Shorts, sportswear, and flip-flops are forbidden in the dining room. ","['Good for special occasions', 'Romantic', 'Charming']","Portland, ME",White Barn Inn
21,$31 to $50,Asian,"We're excited to announce that Rosella, part of the Kennebunkport Resort Collection, has expanded from New York City to Kennebunk, Maine! As the only sushi restaurant in NYC committed to sustainable ingredients, Rosella now brings its eco-friendly sushi to the beautiful Maine Coast.Nestled in the Grand Hotel in Lower Village Kennebunk, Rosella offers a unique and intimate dining experience complemented by our warm hospitality. Our mission is to serve authentic sushi while inspiring our community to embrace sustainability through our delicious creations.Join us for a memorable meal and check out our variety of monthly events on our website. Donât miss out on this special culinary journey!","['Good for special occasions', 'Innovative', 'Healthy']","Portland, ME",Rosella
22,$31 to $50,Seafood,"Experience the best of Kennebunkport, Maine, at The Tides Beach Club, where fresh flavors take center stage. Our menu features an array of seafood and garden vegetables, each dish crafted to perfection to highlight their quality and the chef's dedication. Enhance your meal with a specialty drink or a selection from our extensive wine collection for a truly memorable dining experience. Please note that The Tides Beach Club parking is reserved for hotel guests only; dining guests must utilize Goose Rocks Beach Parking. Book your table on Open Table today for a rejuvenating culinary adventure!","['Great for scenic views', 'Charming', 'Great for creative cocktails']","Portland, ME",The Tides Beach Club
23,$30 and under,Seafood,"Matthew Witham is proud and excited to invite you to The Muddy Rudder Restaurant. We provide our guests with exceptional food, coupled with impeccable service, has materialized on the picturesque coastline of Maine. Welcome and enjoyâ¦.. ","['Great for scenic views', 'Neighborhood gem', 'Good for special occasions']","Portland, ME",Muddy Rudder Yarmouth
24,$31 to $50,French,"Chef Kyle Robinson inspired by our local seafood, farms, and pastures creates a unique take on French comfort food classics. Located in a romantic New England Barn, right in the center of town. Tucked in a corner of bustling Kennebunkport Dock Square, let yourself be transported to the laid back French country side.Our menu is ever changing with what the season have to offer.  Our signature dishes are the Pollock Wellington and our house made rotating charcuterie program.Always offering some French staples such as cheese fondue, onion soup and steak frites. French Chic bar offering seasonal craft cocktails.","['Charming', 'Good for special occasions', 'Neighborhood gem']","Portland, ME",Chez Rosa
25,$30 and under,Contemporary American,"Sitting over the Kennebunk River in the Kennebunkport neighborhood  of Dock Square. Hurricane Restaurant offers the freshest local seafood,locally grown produce and the finest of prime meats available in the market daily. Our Chef and Pastry Chef write our menus each day based on what is the freshest and finest product. Our wine list offers over 130 plus selections by the bottle with almost 60 available by the glass and has won Wine Spectator awards for over 20 years in a row. Our service is casual with our priorities being complete guest satisfaction. Please join us soon to enjoy our wonderful food and beverages and well as our spectacular water views.","['Good for special occasions', 'Neighborhood gem', 'Great for scenic views']","Portland, ME",Hurricane Restaurant - Kennebunkport
26,$50 and over,Italian,"Discover culinary perfection at Via Sophia by the Sea, Kennebunk's top dining destination. Immerse yourself in a culinary journey where each dish is meticulously crafted in-house with the freshest ingredients. Nestled by the sea, Via Sophia offers a year-round dining experience, presenting a diverse menu of classic favorites and innovative creations. Treat yourself to our signature dishes, including Arancini, Baked Burrata, Grilled Calamari, Lobster Agnolotti, and Fettuccine Bolognese. Join us for an unforgettable dining experience in the heart of Kennebunk, Maine.","['Good for special occasions', 'Romantic', 'Great for creative cocktails']","Portland, ME",Via Sophia by the Sea Kennebunk ME
27,$31 to $50,Contemporary American,"	Rediscover Maine dining. Native ingredients honor Maineâs indelible heritage. By partnering with local fisherman, farmers, distillers, and ranchers, The Tiller Restaurant combines the regionâs distinctive culture and tradition with culinary innovation and sustainable practices for authentic and nuanced dining experiences.	Upscale contemporary design meets with charming rustic elements, combined with a bright and inviting dining destination surrounded by ocean views suspended over the cliffs.   Seasonal breakfast, lunch, and dinner menus are prepared with farm-fresh local produce, line-caught fish, hand cut meats, and homemade recipes passed down from generation to generation.*Please note*At this time, due to the large demand with in-house reservations and limited accommodations at the restaurant, during the months of July and August the restaurant will have limited availability for non-resort guests.  Apologies for this.","['Great for scenic views', 'Good for special occasions', 'Great for brunch']","Portland, ME",The Tiller Restaurant at Cliff House
28,$30 and under,Steakhouse,"Toscana Italian Chophouse & Wine Bar, a steakhouse concept that will be built around signature chops, incredible sides, and of course many of the Italian favorites that customers have come to love from Tuscan Kitchen.","['Good for special occasions', 'Lively', 'Great for creative cocktails']","Portland, ME",Toscana Chop House
29,$50 and over,Seafood,"Join us on The Terrace for fresh tastes and refreshing sips under the sun. There is no better way to enjoy the bounties of our Maine waters than while taking in unparalleled views of the great Atlantic. Relax, soak in the salt air, and enjoy small plates, a creative raw bar menu, rotating daily Maines, seasonal cocktails, local brews, and perfectly paired wines. Open seasonally, The Terrace is a fully outdoor dining experience offering traditional and innovative seafood dishes. Reservations are required by calling 207-361-6277.**Please note that reservations for The Terrace are weather dependent and do not guarantee a table indoors elsewhere at Cliff House Maine in the event of inclement weather.","['Great for scenic views', 'Great for outdoor dining', 'Romantic']","Portland, ME",Cliff House - Terrace
30,$31 to $50,American,"Indulge in culinary delights at The Burleigh, a charming tavern-style restaurant named after its original owner at the Kennebunkport Inn. Immerse yourself in its inviting ambiance, adorned with warm red walls and polished wood. Delight your palate with a diverse menu featuring locally sourced seafood, hearty burgers, and creative cocktails. Savor elevated pub fare, including flavorful gluten-free and vegan options crafted by Chef John Shaw. Experience exceptional dining in the heart of Kennebunkport.BOTANICAL BAR: Step into The Burleigh Botanical Bar and immerse yourself in a whimsical oasis of organic florals, herbs, and candlelit charm. Enjoy herbaceous spring cocktails and delectable bites in this enchanting botanical haven, available until September 1st.Open Wednesday-Sunday 4-8 PM. OpenTable Reservations are for the dining room ONLY.","['Charming', 'Romantic', 'Good for special occasions']","Portland, ME",The Burleigh
31,$31 to $50,American,"Originally built in 1780 as a working farm, Clay Hill Farm is now a 200-seat restaurant and special occasion venue nestled amidst 10 private acres of rolling lawns, protected woodlands, and colorful gardens. The first restaurant in the country to be certified as a wildlife habitat and bird sanctuary, Clay Hill Farm is passionate about locally-sourced food and the natural beauty of Maine. Live music nightly. Award-winning food & service.","['Charming', 'Good for special occasions', 'Romantic']","Portland, ME",Clay Hill Farm
32,$31 to $50,American,"Perched on the shore of Rust Pond, Trentaâs restored barn setting, intimate dining room and convivial lounge complete with handcrafted copper bartop and fireside seating, harmonize for an atmosphere reminiscent of simpler timesâa place to come only to enjoy.","['Charming', 'Good for business meals', 'Good for groups']","Portland, ME",Trenta
33,$31 to $50,American,"Located in the heart of Brunswick, Maine, Noble Kitchen + Bar serves local, elevated cuisine. Masterfully blending culinary traditions, contemporary techniques and seasonal flavour profiles, our Chef Meghan Fairman expertly creates thoughtful and artistically crafted menus that focus on honoring high-quality ingredients and their origins. This attention to detail follows to the bar, where freshly squeezed juices, old-school bartending techniques, and a wide array of available spirits, are meticulously melded to perfection. Locally crafted, small-batch breweries are represented alongside a diverse wine program focused on highly allocated and unique wines. With an inviting dining room and outdoor patio, we encourage you to come and experience the wonderfully crafted artistry of our culinary team.A slow food restaurant, we suggest parties of two to four persons allocate two hours for service.","['Charming', 'Great for creative cocktails', 'Neighborhood gem']","Portland, ME",Noble Kitchen + Bar
34,$31 to $50,Seafood,"Stripers Waterside Restaurant is a laid-back casual eatery specializing in sustainably & locally sourced fare. We bring the freshest seafood available, bought only from local purveyors, alongside eclectic classics like our Smashburger, Chicago style Italian beef, and upscale bar snacks from Executive Chef Trustan Hamilton. So come enjoy our beautiful riverside lawn, complete with fire pits and Adirondack chairs. Our dining room & bar are also lined completely with glass doors, so every table has a view. We change our menu often along with the short growing seasons, so always be on the lookout for your new favorite dish!","['Charming', 'Great for scenic views', 'Great for outdoor dining']","Portland, ME",Stripers - Kennebunkport
35,$50 and over,Northwest Spain,"Let Chef Chris Padill, who learned from Ferran AdriÃ  while working at El Bulli in Barcelona, prepare an authentic Spanish Paella for two - each dish we serve is made to order, a la minute, just for you!  Dine at one of our two outdoor patios and enjoy the tranquil beauty of our private meadow, surrounded by willow trees, purple lilacs, and pink and white hydrangeas.  Or sip one of our real espresso martinis at our outdoor bar.  Come inside our barn dining room, where it is cozy and cool and the walls are lined with a special book collection of Ann Raychel's (the owner's mentor from New York City).  If you are craving a burger or ready to try our Cazuela (Spanish seafood chowder) or a Croque Monsieur with a crisp glass of Kiki and Juan organic wine - let us transport you while you dine with us at your leisure.  Drink & dine at our full bar.  Select our vegan wrap; a cortadito; tiramisu.  Our specials change daily with flavors from Southern France and Northern Spain.  ","['Neighborhood gem', 'Charming', 'Innovative']","Portland, ME",Ann's Book Bistro
