,price_point,cuisine,description,tags,region,restaurant_name_extracted,restaurant_name_input
10,$31 to $50,Continental,"With over 48 years in business serving the local and traveling public fresh, local cuisine in a casual yet elegant atmosphere.If you are searching for the perfect place to indulge in an elegant yet comfortably casual dining experience look no further. Jonathan's Restaurant impresses in every way making it the perfect destination for any special occasion. Jonathan's Restaurant is Ogunquit's premiere destination for local cuisine and impeccable service. Accented by soft lighting and elegant dÃ©cor, Jonathan's Restaurant aims to please and succeeds in doing so. The professional staff caters to its guests'; every need making sure not to cut corners and only offering the finest, highest quality ingredients. The menu is vast and eclectic showcasing an impressive selection of upscale New England specialties. ","['Charming', 'Good for special occasions', 'Good for groups']","Portland, ME",Jonathan's - Ogunquit,Continental
11,$30 and under,American,"The Armory Lounge in the Portland Regency Hotel & Spa is a popular bar and restaurant in downtown Portlandâs Old Port district. Located in the lower lobby of the hotel, the Armory Lounge provides a cozy atmosphere for hotel guests, and is also considered one of the best bars in downtown Portland by locals. Known for its delicious and inventive cocktails, the Armory also has a wide variety of wine and beer, including several local Maine craft beers. Lunch and dinner options include small plates, soups and salads, sandwiches, fresh local seafood and hearty entrÃ©es, such as Fish and Chips and Baked Lazy Manâs Lobster.The Armory Lounge is primarily a walk in seating establishment.  If you do not see availability online please come in and grab a seat!  Seasonally we will serve in the Garden Cafe and not inside in the Armory Lounge.",,"Portland, ME","The Armory Lounge, at The Portland Regency Hotel &amp; Spa",The Armory Lounge
12,$30 and under,American,"Walks In's Welcome!  We reserve a portion of our restaurant for reservations, the remainder is for walk in.  Rigby Yard is a Beer, Wine Cocktail and Food Hall- Featuring Maine Craft Beers on Tap, Unique and Fresh Specialty Cocktails, Selections of Wine and Prosecco. Large selection of appetizers and handheld options. Large open space, Covid compliant and capable of seating groups of eight on our large spaced community tables. Brunch on Sundays, In addition we offer a full service sit down coffee bar and snacks with free WIFI  Mon-  Friday 8am - 3pm  ",[],"Portland, ME",Rigby Yard,Rigby Yard
13,$30 and under,Contemporary American,Elevated Tavern Dining in an elegantly rustic space designed with social distancing guidelines in place. Come by for bubbly and a steak on a special occasion or pop by every so often to see whats coming in fresh from the fish market. Craft cocktails and a fun wine list perfectly accent our seasonal menu.Walk-ins welcome also! We are your neighborhood place. ,[],"Portland, ME",East Ender,The East Ender
14,$31 to $50,Seafood,"Bringing some LA vibes to the northeast.  REGARDS draws inspiration from the diverse food culture of Los Angeles.  We highlight flavor profiles from Japan and Mexico with the freshest of Maine produce and products.  The menu at REGARDS has bright, zippy ceviches and crudos, rich tamales, plump Argentinian shrimp tacos, along with mezcal cured hamachi collars, crab rice and grilled cabbage with caesar. Clarified lime margaritas with eucalyptus or our gin and sotol martinis with hibiscus pair with our adventurous menu.  We pour natural wine and have a large selection of curated mezcals and tequilas.A place for us and for you.  Might not make sense, but it sure is delicious.  Across the street from Reny's.  Nearby Maine College of Art, Portland Stage Company, State Theatre, Empire Comedy Club and Blue Jazz Club.  **The 50 Best New Restaurants of 2022, Bon Appetit****Plate Magazine Chef's To Watch, 2023****Star Chef New England, 2023**","['Good for special occasions', 'Innovative', 'Great for creative cocktails']","Portland, ME",REGARDS,Regards
15,$50 and over,Steakhouse,"Opened by local chef/owner Harding Lee Smith &  located in the heart of the historic Old Port, The Grill Room & Bar, has been a staple in Portland's burgeoning food since 2008. An open kitchen concept featuring locally sourced french inspired plates makes this ""urban steakhouse"" a distinctive dining experience for any occasion.  Enjoy Chef Entrees or the A la Carte Menu.  In addition, The Grill Room Bar offers a generous variety of wine, local beer & handcrafted cocktails.  Stop in from 4-6pm Tuesday - Saturday  for Happy Hour Small Bites & Drinks.  The patio is pet friendly and is available for seating on a weather dependent basis. The Grill Room is joined by Portland sister restaurants The Front Room & Corner Room & The Mountain Room & Last Run Room @ Sunday River Ski Resort...  Walk-ins are welcome although reservations are highly recommended.Large parties are encouraged to call the restaurant directly @ 207 774 2333 or email thegrillroom@gmail.com for reservation needs.","['Good for special occasions', 'Lively', 'Great for creative cocktails']","Portland, ME",The Grill Room &amp; Bar,The Grill Room
16,$30 and under,Bistro,"A neighborhood gastropub featuring 14 local beverages on tap and scratch-kitchen fare.  Menu features shares, entrees and house-made desserts.  Reservations available in our dining room; our bar and high-top area is almost always dedicated to walk-ins.  For reservations for seven or more, email us at littletaphouse@gmail.com.Steps away from popular venues such as the Portland Museum of Art, Cross Insurance Arena, and the State Theater. A welcoming dining experience for locals and visitors-alike! ","['Charming', 'Neighborhood gem', 'Great for craft beers']","Portland, ME",Little Tap House,Little Tap House
17,$50 and over,Contemporary American,"Davidâs Opus Ten is open during each season for limited and exclusive pop-up events, celebrating seasonal products as they become available. Look forward to Davidâs Opus Ten Test Kitchen events, Maine Restaurant Week (March), and Portland Wine Week (June). Go to our events page to see whatâs coming up.This intimate restaurant within a restaurant is like nothing else in Portland. Chef David is in the Opus kitchen  himself to prepare this hyper-local menu. Cocktails  and a surprise hors d'oeuvres promptly at 6:00 PM, followed by seven set courses with optional wine pairings or a mocktail option.Reservations are strongly recommend as seating is limited to 18 guests and it sells out very quickly.Opus Ten is also available year round for special events, private dinners, and parties. ","['Innovative', 'Romantic', 'Good for special occasions']","Portland, ME",David's Opus Ten,David's Opus Ten
18,$30 and under,American,"Due to volume we are unable to accept reservations for Brunch. Tables are available on a walk-in basis. Reservations are available for Dinner. For parties over 6, please call 773-3366 during business hours to make reservations.Nestled atop Portlandâs Munjoy Hill neighborhood, The Front Room, offers dishes & drinks with comfort in mind. A local Brunch destination, enjoy plates such as house-made Corned Beef Hash, Veggie Gnocchi, & Eggs Benedict. Pancakes & French Toast are always a go to. Serving a variety of Mimosas & Bloody Marys, local coffee & teas. Dinner at TFR is relaxed & pleasurable. Plates are made with local components & thoughtful recipes. Enjoy the Casco Bay Scallops, Braised Shortrib, Mushroom Toast, or neighborhood favorite Roasted Pork Loin with JJ's famous bacon jam. Serving a variety of local beer, wine, and cocktails to suit every taste- Come get Happy 4-6 !","['Neighborhood gem', 'Lively', 'Good for special occasions']","Portland, ME",The Front Room,The Front Room
19,$30 and under,Contemporary American,"A long established local favorite at the center of the historic arts district featuring eclectic decor,and an energetic atmosphere.  David's offers broadly appealing menus that highlight familiar dishes with acreative twist. Open for lunch and dinner, showcasing  delectable options for gluten free, vegetarian, and vegan diners. Davidâs is known for delicious meals, and warm and friendly service. Itâs no wonder that Chef David was voted Portland's best chef in 2021 and chef of the year in 2012.","['Good for special occasions', 'Charming', 'Neighborhood gem']","Portland, ME",David's Restaurant,David's Restaurant
20,$30 and under,Italian,"Tuscan Table is conveniently located in South Portland! Fresh seafood, wood fired steaks, brick oven pizzas, Maine beers on draft, curated wine and craft cocktails all in unrivaled atmospheres designed by Nicola's Home of Yarmouth, ME. Visit our sister restaurants: Royal River Grillhouse in Yarmouth, Maine and Tuscan Brick Oven Bistro in Freeport, Maine.",[],"Portland, ME",Tuscan Table,Tuscan Table
21,$31 to $50,Bistro,"From the owner of David's (Portland, ME), 388 is a comfortable and casual neighborhood nook where diners can enjoy a range of bold flavors. Both restaurants share the signature of Chef/Owner David Turin, and David's 388 is built ""by the Chef, for the Chef.""

Every week, David's 388 thrills the palette with new dishes that have both creative and traditional influences spanning the width of the globe.

The restaurant seats 42 including seating at a Chefâs counter overlooking the kitchen.","['Neighborhood gem', 'Good for special occasions', 'Charming']","Portland, ME",David's 388,Low Key
22,$31 to $50,Italian," Established at the top of Portland's Old Port since 2009, The Corner Room offers guests a convival & socialable atmosphere with exceptional service. A gathering spot where friends & families can share a snack or a meal.  Enjoy seating at the taps, antipasti bar, or table service -all with views of the open kitchen. Head Chef Greg Wilson & Sous Chef Jason Macguire create staple dishes using local & Italian ingrediants with authentic techniques. The menu is pleasingly  varied.  Delight in the Bruschetta, Verduras, Procsciutto & Greens Pizza or Fettucini Bolognese to name a few - all served with a well rounded wine, spirit, & beer selection.  Founded By Chef/Owner Harding Lee Smith, The Corner Room, is part of ""The Rooms"" Restaurant Group.Parties of 5 or more & guests with any questions are asked to call (207) 879 4747 during regular buisness hours & we will be happy to assist you. Please note that tables will be held for 10 minutes after reservation time. ","['Good for special occasions', 'Lively', 'Neighborhood gem']","Portland, ME",The Corner Room,The Corner Room
23,$30 and under,Gastro Pub,What is a gastro pub?â Gastronomy is the study of preparing and consuming food. A pub is a neighborhood spot for affordable food and good times. When you combine the two you get a neighborhood spot with a focus on food prepared from scratch with fresh ingredients.,"['Neighborhood gem', 'Great for live music', 'Good for groups']","Portland, ME",The Frog and Turtle,The Frog & Turtle
24,$30 and under,Spanish,"We accept reservations online or over the phone. For reservations of 7 guests or more, reservations must be made over the phone. Our menu offers a full range of tapas, raciones, and entrees creating a set of choices for any sized appetite. The menu is printed nightly with frequent changes in steak, gnocchi, risotto, appetizers and fish specials. Our feature dish is a classic Spanish paella filled with local seafood. Our wine list is extensive featuring over 100 bottles focused in Spain, France, and Italy. Our beer list features local micros, seasonal, domestic and imported selections. We offer an ever changing array of house made cocktails, many of which feature intriguing house infusions. Weekend brunch is served from 9am-1pm. Brunch is walk in service only. Our Brunch menu features delicious house made pastries, rotating seasonal scrambles, as well as eggs benedict, huevos rancheros, and more. For brunch drinks, we offer multiple different house bloody marys and infused cocktails. ","['Innovative', 'Neighborhood gem', 'Good for special occasions']","Portland, ME",Local 188,Local 188
25,$31 to $50,Pizzeria,"Pizza is simple food. But it doesnât have to be ordinary.Since 2009 when we opened our first slice shop on Congress Street in downtown Portland, weâve been striving to elevate the pizza experience. It starts with the ingredients â high quality, local when possible â and the toppings â creative and comforting. Mashed potatoes? Tortellini? Cranberries on a pizza? These are just a few of the things we tried â and they worked. âThe Masherâ with mashed potato, scallion, and bacon is one of our most popular pies. And people thought it was weird when we first put it on the menu.Making simple food isnât easy. We are continuously working to make sure every pizza is perfect and every slice unforgettable. Whether it be from one of our slice counters, or in one of our full service dining rooms, every member of our team is motivated by this goal of consistently well-executed, uncomplicated food.","['Kid-friendly', 'Good for groups', 'Gluten-free-friendly']","Portland, ME",OTTO - Auburn,OTTO
26,$30 and under,American,"The Dockside Grill is located in the heart of Casco Bay at Handy Boat Marina. We are now open 6 days a week for indoor and outside seating.Reservation and call ahead walk-ins suggested.The  Dockside Grill offers fresh, fun and flavorful New England fare with a modern twist. ",[],"Portland, ME",Dockside Grill,Dockside Grill
27,$30 and under,Contemporary American,Congress Squared Restaurant's cuisine is Contemporary American with an emphasis on New England ingredients and local favorites. The menu features New England sourced seafood. The bar is stocked with Maine Beers and Maine Spirits. The intimate dining room seats 70 guests and the bar accommodates an additional 20. Congress Squared welcomes walk-in guests nightly in the dining room and the bar. Best Happy Hour in Town! Seven days a week 3-7pm Happy Hour! The restaurant is on the street level of The Westin Portland Harborview Hotel.,[],"Portland, ME",C2-Congress Squared Restaurant,Congress Squared Restaurant
